HospCode,Code,Description,Code_Type,Gross Charge,Discounted Cash Price,Minimum Negotiated Charge,Maximum Negotiated Charge,1199-Commercial,Aetna-Commercial,Aetna-Medicare Advantage,Cigna-Commercial,EMBLEMHEALTH/GHI-Commercial,EMBLEMHEALTH/HIP-CHP,EMBLEMHEALTH/HIP-Commercial,EMBLEMHEALTH/HIP-Medicaid,EMBLEMHEALTH/HIP-Medicare Advantage,EMPIRE HEALTHCHOICE ASSURANCE-HMO/POS,EMPIRE HEALTHCHOICE ASSURANCE-Medicare Advantage,EMPIRE HEALTHCHOICE ASSURANCE-PPO,FIDELIS CARE NEW YORK-Medicaid,FIDELIS CARE NEW YORK-Medicare Advantage,HEALTHFIRST-Medicaid,HEALTHFIRST-Medicare Advantage,HEALTHPLUS-CHP,HEALTHPLUS-Essential,HEALTHPLUS-Medicaid,HEALTHPLUS-Medicare Advantage,MEDICAID-Traditional Medicaid,MEDICARE-Traditional Medicare,OPTUM VA CCN-Commercial,OXFORD HEALTH INSURANCE-Commercial,TRICARE-Commercial,United Healthcare-Commercial,United Healthcare-Medicaid,United Healthcare-Medicare Advantage
3934,21,INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITH COMPLICATION,DRG,214064.85,214064.85,20218.28,216762.23,NA,NA,NA,216762.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67215.68,NA,NA,NA,NA,NA,NA
3934,22,INTRACRANIAL VASCULAR PROCEDURES WITH PDX HEMORRHAGE WITHOUT COMPLICATION/COMORBITY,DRG,59305.31,59305.31,51273.71,52260.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51871.48,NA,NA,NA,NA,NA,NA
3934,23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITH COMORBITY OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,DRG,257407.52,257407.52,2452.06,167030.98,148452.26,52416.21,69583.21,NA,NA,NA,50432.91,NA,NA,NA,46929.4,117736.84,NA,NA,NA,46014.11,NA,NA,NA,NA,NA,54185.99,NA,119567.93,NA,72480.46,NA,41788.2
3934,24,CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX WITHOUT COMORBITY,DRG,139472.94,139472.94,7597.72,96258.48,NA,60009.85,NA,NA,NA,NA,NA,NA,NA,77711,NA,84394.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,31192.95,NA,NA,NA,82940.01,NA,32584.84
3934,25,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH COMORBITY,DRG,243256.06,243256.06,610,511169.46,NA,64813.2,NA,511169.46,NA,NA,NA,NA,NA,88312,37610.39,110699.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,40868.68,NA,190020.7,NA,89954.27,NA,38088.1
3934,26,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITH COMPLICATION,DRG,122892,122892,2432.18,127346.03,46571.77,45749.77,NA,72667.64,NA,NA,NA,NA,NA,NA,26196.86,62127.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,28967.65,NA,127346.03,NA,53732.05,NA,48981.18
3934,27,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT COMPLICATION/COMORBITY,DRG,96506.09,96506.09,5604.44,65528.03,50626.81,48710.83,NA,NA,NA,NA,NA,NA,NA,46371,NA,47850.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,21876.23,NA,50444.92,NA,58250.46,NA,NA
3934,28,SPINAL PROCEDURES WITH COMORBITY,DRG,187385.36,187385.36,56903.56,139606.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59265.81,NA,135106.5,NA,NA,NA,NA
3934,29,SPINAL PROCEDURES WITH COMPLICATION OR SPINAL NEUROSTIMULATORS,DRG,146283.7,146283.7,1042.7,70604.17,NA,29771.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,66491.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,31323.08,NA,70604.17,NA,NA,NA,NA
3934,30,SPINAL PROCEDURES WITHOUT COMPLICATION/COMORBITY,DRG,103368.79,103368.79,19003.75,59910.41,NA,52348.16,NA,NA,NA,NA,19003.75,NA,NA,NA,NA,43961,NA,NA,NA,NA,NA,NA,NA,NA,NA,24463.24,NA,NA,NA,NA,NA,NA
3934,31,VENTRICULAR SHUNT PROCEDURES WITH COMORBITY,DRG,113303.29,113303.29,9741.83,139264.3,NA,NA,NA,NA,NA,NA,122053.97,NA,NA,NA,NA,66387.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,37359.61,NA,43359.73,NA,36610.51,NA,NA
3934,32,VENTRICULAR SHUNT PROCEDURES WITH COMPLICATION,DRG,67302.88,67302.88,5249.65,48244.94,NA,34093.85,17985.86,NA,NA,NA,NA,NA,NA,NA,NA,46968,NA,NA,NA,NA,NA,NA,NA,NA,NA,22563.31,NA,NA,NA,48244.94,NA,NA
3934,33,VENTRICULAR SHUNT PROCEDURES WITHOUT COMPLICATION/COMORBITY,DRG,53804.21,53804.21,3839.3,36443,NA,15550.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,36443,NA,NA,NA,NA,NA,NA,NA,NA,NA,16914.25,NA,NA,NA,33875.6,NA,NA
3934,34,CAROTID ARTERY STENT PROCEDURE WITH COMORBITY,DRG,239294.95,239294.95,10641.96,253151,NA,39271.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,69649,NA,NA,NA,NA,NA,NA,NA,NA,NA,25294.05,NA,245678.6,NA,NA,NA,30311.94
3934,35,CAROTID ARTERY STENT PROCEDURE WITH COMPLICATION,DRG,117577.66,117577.66,5214.64,51218,NA,38052.65,18845.11,NA,NA,NA,NA,NA,NA,NA,NA,50272.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,20536.1,NA,NA,NA,21426.84,NA,NA
3934,36,CAROTID ARTERY STENT PROCEDURE WITHOUT COMPLICATION/COMORBITY,DRG,44102.4,44102.4,4193.3,40569,NA,NA,17191.24,NA,NA,NA,NA,NA,NA,NA,NA,40569,NA,NA,NA,NA,NA,NA,NA,NA,NA,15707.13,NA,NA,NA,14497.76,NA,NA
3934,37,EXTRACRANIAL PROCEDURES WITH COMORBITY,DRG,176232.73,176232.73,3829.01,99753.8,NA,41558.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28621.4,NA,99753.8,NA,NA,NA,NA
3934,38,EXTRACRANIAL PROCEDURES WITH COMPLICATION,DRG,148112.72,148112.72,1711.93,86341.63,NA,57760.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,14181.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,17920.16,NA,NA,NA,32082.85,NA,NA
3934,39,EXTRACRANIAL PROCEDURES WITHOUT COMPLICATION/COMORBITY,DRG,68665.6,68665.6,2541.39,35397.17,NA,35397.17,NA,NA,NA,NA,NA,NA,NA,NA,10919.91,21910,NA,NA,NA,NA,NA,NA,NA,NA,NA,11015.14,NA,NA,NA,13523.3,NA,NA
3934,40,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC WITH COMORBITY,DRG,131823.92,131823.92,8146.55,107197.08,NA,29584.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,86735,NA,NA,NA,NA,NA,NA,NA,NA,NA,37512.72,NA,67852.99,NA,NA,NA,26990.29
3934,41,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC WITH COMPLICATION OR PERIPH NEUROSTIM,DRG,133101.52,133101.52,5245.88,120178.01,45656.3,24795.93,NA,NA,NA,NA,19973.13,NA,NA,NA,120178.01,49169.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,23926.45,NA,45951.11,NA,19396.33,20569.31,NA
3934,42,PERIPH/CRANIAL NERVE & OTHER NERV SYST PROC WITHOUT COMPLICATION/COMORBITY,DRG,86812.67,86812.67,4205.67,53181.14,53181.14,23996.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,39602,NA,NA,NA,NA,NA,NA,NA,NA,NA,16615.11,NA,34866.59,NA,NA,NA,NA
3934,52,SPINAL DISORDERS & INJURIES WITH COMPLICATION/COMORBITY,DRG,67493.95,67493.95,17422.58,54681.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31174.36,NA,NA,NA,NA,NA,NA
3934,53,SPINAL DISORDERS & INJURIES WITHOUT COMPLICATION/COMORBITY,DRG,51582.75,51582.75,13406.41,14091.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13749.18,NA,NA,NA,NA,NA,NA
3934,54,NERVOUS SYSTEM NEOPLASMS WITH COMORBITY,DRG,102485.86,102485.86,143.56,50099.48,NA,19156.11,11262.18,24385.53,NA,NA,20676.2,NA,NA,NA,NA,25362.94,NA,NA,NA,13142.03,NA,NA,NA,NA,NA,12344.22,NA,NA,NA,13294.86,NA,30787.27
3934,55,NERVOUS SYSTEM NEOPLASMS WITHOUT COMORBITY,DRG,71547.1,71547.1,11015.71,22866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21996,NA,NA,NA,NA,NA,NA,NA,NA,NA,11015.71,NA,16912.34,NA,15519.76,NA,NA
3934,56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH COMORBITY,DRG,120775.2,120775.2,4773.12,52364.84,NA,29021.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,39461.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,22661.44,NA,52364.84,NA,NA,37892.07,NA
3934,57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT COMORBITY,DRG,68990.53,68990.53,1170,97546.85,NA,NA,12317.41,NA,NA,NA,16660.93,NA,NA,NA,14369.93,23570.67,NA,NA,NA,10447.04,NA,NA,NA,NA,NA,12627.69,NA,13246.75,NA,26188.63,NA,NA
3934,58,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITH COMORBITY,DRG,71139.91,71139.91,21141.42,38060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38060,NA,NA,NA,NA,NA,NA,NA,NA,NA,21973.73,NA,NA,NA,NA,NA,NA
3934,59,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITH COMPLICATION,DRG,67052.68,67052.68,9397.27,24687,NA,9397.27,NA,NA,NA,NA,NA,NA,NA,21915,NA,24687,NA,NA,NA,NA,NA,NA,NA,NA,NA,12734.5,NA,17864.14,NA,NA,NA,NA
3934,60,MULTIPLE SCLEROSIS & CEREBELLAR ATAXIA WITHOUT COMPLICATION/COMORBITY,DRG,76803.72,76803.72,149.67,20065,NA,7698.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,19020,NA,NA,NA,NA,NA,NA,NA,NA,NA,11714.91,NA,15312.05,NA,12902.67,NA,NA
3934,61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH COMORBITY",DRG,151429.23,151429.23,6444.28,49207.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26448.25,NA,NA,NA,29899.97,NA,NA
3934,62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH COMPLICATION",DRG,107181.53,107181.53,4914.73,46348.1,29767.43,19495.98,NA,NA,NA,NA,46348.1,NA,NA,NA,NA,40898,NA,NA,NA,NA,NA,NA,NA,NA,NA,21069.94,NA,NA,NA,16722.2,NA,NA
3934,63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT COMPLICATION/COMORBITY",DRG,94845.19,94845.19,4107.34,40292.51,NA,39721.29,NA,NA,NA,NA,40292.51,NA,NA,NA,NA,36013,NA,NA,NA,NA,NA,NA,NA,NA,NA,10895.35,NA,NA,NA,14212.11,NA,NA
3934,64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH COMORBITY,DRG,145949.37,145949.37,96.63,114110.71,26924.72,37016.88,31256.11,NA,NA,NA,15825.25,NA,NA,NA,21603.13,39777.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,19233.58,NA,26082.04,NA,35033.15,NA,15486.49
3934,65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH COMPLICATION OR TPA IN 24 HRS,DRG,87115,87115,155.97,44215.74,22731.6,13802.01,NA,NA,NA,NA,14287.93,NA,NA,NA,9958.23,21957.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,9703.68,NA,21373.47,NA,10384.23,7741.58,8965.35
3934,66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT COMPLICATION/COMORBITY,DRG,67778.19,67778.19,147.97,17671.47,NA,6713.68,7735.76,NA,NA,NA,11710.29,NA,NA,NA,7511.85,14809.8,NA,NA,NA,NA,NA,NA,NA,7511.85,NA,5841.06,NA,15088.05,NA,6898.63,NA,NA
3934,68,NONSPECIFIC CVA & PRECEREBRAL OCCLUSION WITHOUT INFARCT WITHOUT COMORBITY,DRG,60380.89,60380.89,1982.68,17693.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11687.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,6241.78,NA,17693.34,NA,7966.76,NA,NA
3934,69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,DRG,63616.14,63616.14,1753.98,17227,NA,10864.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,16162,NA,NA,NA,NA,NA,NA,NA,NA,NA,8731.33,NA,NA,NA,8442.9,NA,NA
3934,70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH COMORBITY,DRG,105763.12,105763.12,3740.46,36738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36738,NA,NA,NA,NA,NA,NA,NA,NA,NA,15134.78,NA,NA,NA,15889.57,NA,35731.09
3934,71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH COMPLICATION,DRG,74686.9,74686.9,2050.33,71096.35,NA,NA,8621.08,NA,NA,NA,8722.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15941.23,NA,NA,NA,NA,NA,NA
3934,72,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT COMPLICATION/COMORBITY,DRG,60738.05,60738.05,8428.64,15823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15823,NA,NA,NA,NA,NA,NA,NA,NA,NA,9384.24,NA,NA,NA,13078.32,NA,NA
3934,73,CRANIAL & PERIPHERAL NERVE DISORDERS WITH COMORBITY,DRG,157824.36,157824.36,3233.96,27389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27389,NA,NA,NA,NA,NA,NA,NA,NA,NA,15038.23,NA,NA,NA,NA,NA,NA
3934,74,CRANIAL & PERIPHERAL NERVE DISORDERS WITHOUT COMORBITY,DRG,84397.32,84397.32,2272.3,34913.36,19781.51,NA,9959.83,NA,NA,NA,NA,NA,NA,NA,NA,20144.5,NA,NA,NA,9956.47,NA,NA,NA,NA,NA,9518.55,NA,17974.56,NA,19970.53,NA,10385.9
3934,75,VIRAL MENINGITIS WITH COMPLICATION/COMORBITY,DRG,97402.59,97402.59,3934.31,275756.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15468,NA,NA,NA,NA,NA,NA,NA,NA,NA,184124.98,NA,NA,NA,33739.82,NA,NA
3934,77,HYPERTENSIVE ENCEPHALOPATHY WITH COMORBITY,DRG,40034.71,40034.71,3769.38,19824.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14984.4,NA,NA,NA,13101.06,NA,NA
3934,80,NONTRAUMATIC STUPOR & COMA WITH COMORBITY,DRG,52324.63,52324.63,20740.02,41059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41059,NA,NA,NA,NA,NA,NA,NA,NA,NA,20740.02,NA,NA,NA,NA,NA,NA
3934,82,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITH COMORBITY",DRG,101201.15,101201.15,5038.37,139971.2,NA,31554.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,18845.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,25188.16,NA,NA,NA,116557.66,NA,NA
3934,83,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITH COMPLICATION",DRG,106068.4,106068.4,2993.66,107733.01,39975.04,11099.48,36823.12,NA,NA,NA,NA,NA,NA,NA,12533.6,28083,NA,NA,NA,NA,NA,NA,NA,NA,NA,16905.72,NA,NA,NA,NA,NA,NA
3934,84,"TRAUMATIC STUPOR & COMA, COMA >1 HR WITHOUT COMPLICATION/COMORBITY",DRG,66869.57,66869.57,2017.49,19816,NA,NA,NA,NA,NA,NA,12393.88,NA,NA,NA,9050.7,19521,NA,NA,NA,NA,NA,NA,NA,NA,NA,7829.49,NA,NA,NA,NA,NA,NA
3934,85,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITH COMORBITY",DRG,197326.36,197326.36,5370.1,65316.12,NA,65316.12,18751.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22671.01,NA,NA,NA,NA,NA,NA
3934,86,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITH COMPLICATION",DRG,88335.16,88335.16,2840.15,32485.2,NA,14519.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,26521,NA,NA,NA,NA,NA,NA,NA,NA,NA,12677.47,NA,NA,NA,7309.26,NA,11985.89
3934,87,"TRAUMATIC STUPOR & COMA, COMA <1 HR WITHOUT COMPLICATION/COMORBITY",DRG,38804.06,38804.06,4.74,19339.36,NA,12117.51,NA,15556.45,NA,NA,19339.36,NA,NA,NA,8719.52,17250.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8358.04,NA,15842.95,NA,7762.92,NA,8701.81
3934,89,CONCUSSION WITH COMPLICATION,DRG,174528.26,174528.26,2367.79,28378.81,28378.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2367.79,NA,NA,NA,NA,NA,NA
3934,91,OTHER DISORDERS OF NERVOUS SYSTEM WITH COMORBITY,DRG,212644.1,212644.1,38.94,55388.42,20474.64,29061.14,NA,NA,NA,NA,13599.21,NA,NA,NA,NA,33209,NA,NA,NA,NA,NA,NA,NA,NA,NA,15597.38,NA,NA,NA,13804.09,NA,13062.17
3934,92,OTHER DISORDERS OF NERVOUS SYSTEM WITH COMPLICATION,DRG,56336.33,56336.33,2200.23,27797.6,27797.6,12638.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,20151,NA,NA,NA,NA,NA,NA,NA,NA,NA,9500.12,NA,NA,NA,18733.53,NA,8501.31
3934,93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT COMPLICATION/COMORBITY,DRG,45955.15,45955.15,236.75,16309,9958.02,9958.02,6824.39,13394.13,NA,NA,NA,NA,NA,NA,NA,13900.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7812.03,NA,14683.45,NA,6822.65,NA,NA
3934,94,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH COMORBITY,DRG,220861.39,220861.39,45686.43,76808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76808,NA,NA,NA,NA,NA,NA,NA,NA,NA,45686.43,NA,NA,NA,NA,NA,NA
3934,95,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH COMPLICATION,DRG,54850.73,54850.73,15044.13,46573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46573,NA,NA,NA,NA,NA,NA,NA,NA,NA,23981.06,NA,NA,NA,NA,NA,NA
3934,96,BACTERIAL & TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT COMPLICATION/COMORBITY,DRG,141409.37,141409.37,2940,114726.43,NA,NA,NA,NA,NA,NA,114726.43,NA,NA,NA,NA,44942.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,25563.4,NA,74075.64,NA,28239.64,NA,NA
3934,97,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS WITH COMORBITY,DRG,57573.17,57573.17,79356.12,118779.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82238,NA,NA,NA,NA,NA,NA,NA,NA,NA,99067.88,NA,NA,NA,NA,NA,NA
3934,98,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS WITH COMPLICATION,DRG,82019.28,82019.28,20766.8,31289.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24673.94,NA,NA,NA,NA,NA,NA
3934,99,NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS WITHOUT COMPLICATION/COMORBITY,DRG,70619.62,70619.62,19380.75,30735.28,NA,19380.75,NA,NA,NA,NA,30735.28,NA,NA,NA,NA,27575.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3934,100,SEIZURES WITH COMORBITY,DRG,168778.19,168778.19,969.55,198799.56,52372.61,24641.27,15326.97,NA,NA,NA,52872.41,NA,NA,NA,NA,68908.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,28910.03,NA,NA,NA,144889.5,NA,NA
3934,101,SEIZURES WITHOUT COMORBITY,DRG,46895.13,46895.13,825,40937.89,14830.69,12742.71,NA,15610.22,18826.08,NA,20346.43,NA,NA,17082,9066.81,17378.31,NA,NA,NA,NA,NA,NA,NA,8913.77,NA,9366.05,NA,16600.7,NA,16951.68,NA,11840.48
3934,102,HEADACHES WITH COMORBITY,DRG,97740.1,97740.1,13565.04,13565.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13565.04,NA,NA,NA,NA,NA,NA
3934,103,HEADACHES WITHOUT COMORBITY,DRG,45351.49,45351.49,8891.87,18150,NA,NA,NA,14111.33,NA,NA,NA,NA,NA,NA,NA,17224.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,9523.15,NA,13807.57,NA,15962.24,NA,NA
3934,113,ORBITAL PROCEDURES WITH COMPLICATION/COMORBITY,DRG,46590.39,46590.39,4890.44,45682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45682,NA,NA,NA,NA,NA,NA,NA,NA,NA,13736.49,NA,NA,NA,23909.68,NA,NA
